appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,tags,positive_ratings,negative_ratings,total reviews,review_rating,average_playtime,median_playtime,owners,price
3830,Psychonauts,2006-10-11,1,Double Fine Productions,Double Fine Productions,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Remote Play on Phone;Remote Play on Tablet;Family Sharing,Action,Platformer;Comedy;Adventure,15849,808,16657,10.0,311,129,2000000-5000000,6.99
3900,Sid Meier's Civilization® IV,2006-10-25,1,Firaxis Games,2K,windows;mac,0,Single-player;Multi-player;Includes level editor;Family Sharing,Strategy,Strategy;Turn-Based Strategy;Turn-Based,2831,215,3046,9.0,194,14,1000000-2000000,9.99
3910,Sid Meier's Civilization® III Complete,2006-10-25,1,Firaxis Games,2K,windows,0,Single-player;Multi-player;Includes level editor;Family Sharing,Strategy,Strategy;Turn-Based Strategy;Turn-Based,5882,692,6574,9.0,1132,19,1000000-2000000,4.29
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,1,GSC Game World,GSC Game World,windows,0,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Steam Cloud;Family Sharing,Action;RPG,Atmospheric;Post-apocalyptic;Open World,37754,2152,39906,9.0,550,153,1000000-2000000,9.99
4560,Company of Heroes - Legacy Edition,2007-07-17,1,Relic Entertainment,SEGA,windows,18,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud;Family Sharing,Action;Strategy,Strategy;World War II;RTS,6301,423,6724,9.0,1043,81,2000000-5000000,9.99
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2007-08-07,1,Relic Entertainment,SEGA,windows,16,Single-player;Multi-player;Steam Trading Cards;Steam Cloud;Family Sharing,Strategy,Strategy;Warhammer 40K;RTS,9217,456,9673,10.0,267,85,1000000-2000000,9.99
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2007-08-07,1,Relic Entertainment,SEGA,windows,16,Single-player;Multi-player;Steam Cloud;Family Sharing,Strategy,Strategy;Warhammer 40K;RTS,7736,271,8007,10.0,1053,423,1000000-2000000,9.99
4700,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,1,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,Single-player;Multi-player;Steam Trading Cards;Family Sharing,Strategy,Strategy;Medieval;Historical,29317,1306,30623,10.0,11109,621,1000000-2000000,19.99
4920,Natural Selection 2,2012-10-30,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows,0,Multi-player;PvP;Online PvP;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Family Sharing,Action;Indie;Strategy,Multiplayer;Strategy;FPS,11043,1897,12940,9.0,322,158,1000000-2000000,4.29
6000,STAR WARS™ Republic Commando™,2009-07-08,1,LucasArts,LucasArts;Lucasfilm;Disney,windows,0,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Steam Cloud;Remote Play Together;Family Sharing,Action,FPS;Action;Tactical,14243,630,14873,10.0,327,116,1000000-2000000,8.5
6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009-09-16,1,Raven Software,LucasArts;Lucasfilm;Disney,windows;mac,0,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Partial Controller Support;Steam Cloud;Remote Play Together;Family Sharing,Action,Action;Sci-fi;Third Person,12198,497,12695,10.0,363,84,1000000-2000000,8.5
6060,"STAR WARS™ Battlefront II (Classic, 2005)",2009-07-08,1,Pandemic Studios,Lucasfilm;LucasArts;Disney,windows,0,Single-player;Multi-player;PvP;Online PvP;Steam Cloud;Family Sharing,Action,Action;Multiplayer;Shooter,49269,2841,52110,9.0,321,162,2000000-5000000,8.5
6850,Hitman 2: Silent Assassin,2007-03-15,1,Io-Interactive A/S,Io-Interactive A/S,windows,16,Single-player;Steam Cloud;Family Sharing,Action,Stealth;Action;Third Person,2985,582,3567,8.0,246,18,1000000-2000000,8.29
