appid,1980s,1990s,2.5d,2d,3d,3d_platformer,3d_vision,4x,action,action_rpg,action_adventure,addictive,adventure,aliens,alternate_history,animation_&_modeling,anime,arena_shooter,assassin,atmospheric,base_building,based_on_a_novel,benchmark,boomer_shooter,building,bullet_time,cartoon,cartoony,casual,character_customization,cinematic,city_builder,class_based,classic,co_op,collectathon,comedy,competitive,conspiracy,controller,crafting,crime,cult_classic,cute,cyberpunk,dark,dark_comedy,dark_fantasy,dark_humor,demons,difficult,diplomacy,dystopian_,economy,epic,episodic,exploration,fps,family_friendly,fantasy,fast_paced,female_protagonist,fighting,first_person,free_to_play,funny,futuristic,games_workshop,gore,grand_strategy,great_soundtrack,hack_and_slash,hentai,hero_shooter,historical,horror,immersive,immersive_sim,indie,inventory_management,isometric,level_editor,local_co_op,local_multiplayer,moba,magic,management,massively_multiplayer,masterpiece,medieval,memes,military,mod,moddable,movie,multiplayer,multiple_endings,mystery,nostalgia,old_school,online_co_op,open_world,physics,platformer,post_apocalyptic,psychological,psychological_horror,puzzle,puzzle_platformer,pve,pvp,rpg,rts,real_time_tactics,real_time,realistic,remake,replay_value,resource_management,retro,robots,rome,sandbox,sci_fi,science,score_attack,sexual_content,shooter,short,silent_protagonist,simulation,singleplayer,software,space,sports,stealth,story_rich,strategy,stylized,surreal,survival,survival_horror,swordplay,tactical,tanks,team_based,third_person,third_person_shooter,top_down,top_down_shooter,touch_friendly,tower_defense,trading,turn_based,turn_based_strategy,video_production,violent,war,warhammer_40k,world_war_i,world_war_ii,zombies,e_sports
4500,0,0,0,0,0,0,0,0,726,0,0,0,383,0,0,0,0,0,0,1428,0,392,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,1204,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,565,333,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,1298,0,0,1317,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,606,0,0,0,525,0,0,0,0,0,0,0,0,970,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4560,0,0,0,0,0,0,0,0,262,0,0,30,24,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,39,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,99,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,243,0,0,0,0,0,560,0,0,0,0,0,254,143,34,0,0,0,0,0,0,0,0,0,0,0,195,0,0,464,0,0
4570,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,28,0,0,0,0,29,0,0,0,0,0,0,26,127,40,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,128,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,115,0,0,0,0,26,382,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,79,309,0,0,0,0
4580,0,0,0,0,0,0,0,0,48,0,0,0,17,0,0,0,0,0,0,38,155,0,0,0,0,0,0,0,0,0,0,0,0,81,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,100,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,86,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,105,0,23,0,0,0,295,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,67,265,0,0,0,0
4700,0,0,0,0,0,0,0,37,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,62,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,152,0,157,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,139,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,102,196,0,0,0,0,0,679,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,144,329,0,0,275,0,0,0,0,0
4760,0,0,0,0,0,0,0,38,54,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,149,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,144,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,236,89,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,44,139,0,0,0,0,0,530,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,132,273,0,0,173,0,0,0,0,0
4920,0,0,0,0,0,0,0,0,468,0,0,0,45,335,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,154,0,0,121,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,637,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,399,0,0,0,220,0,0,0,0,0,128,0,0,0,607,0,0,0,0,0,181,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,0,0,0,0,0,0,0,0,409,0,0,0,124,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,209,93,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,132,0,0,419,0,0,0,0,0,213,0,0,45,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,252,0,0,0,279,0,148,0,0,0,91,0,0,0,0,0,341,0,123,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0
6020,0,0,0,0,0,0,0,0,249,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,36,40,76,0,0,0,0,0,0,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,104,0,0,0,127,0,0,0,0,21,0,0,0,0,0,123,0,0,0,152,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6060,0,0,0,0,0,0,0,0,863,0,0,173,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,629,0,0,0,0,0,490,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,388,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,725,0,0,0,441,0,690,0,0,0,240,0,0,0,0,0,260,0,0,369,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6850,0,0,0,0,0,0,0,0,143,0,0,0,22,0,0,0,0,0,85,14,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,19,0,0,0,0,0,21,0,0,0,0,23,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,57,0,0,0,77,0,0,0,202,10,0,0,0,0,0,0,14,0,0,90,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
