appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
440,Team Fortress 2,Valve,Valve,,976788,64364,0,"50,000,000 .. 100,000,000",10797,605,367,277,0,0,0,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian","Action, Free to Play",71871,"{'Free to Play': 62474, 'Hero Shooter': 60899, 'Multiplayer': 22555, 'FPS': 15456, 'Shooter': 12548, 'Action': 11945, 'Class-Based': 9641, 'Team-Based': 9260, 'Funny': 9191, 'First-Person': 7781, 'Online Co-Op': 7215, 'Competitive': 7002, 'Cartoony': 6984, 'Trading': 6728, 'Co-op': 5726, 'Comedy': 5253, 'Robots': 4621, 'Tactical': 3930, 'Cartoon': 3869, 'Crafting': 3632}"
500,Left 4 Dead,Valve,Valve,,53192,2035,0,"5,000,000 .. 10,000,000",858,34,171,34,999,999,0,"English, French, German, Spanish - Spain, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian, Vietnamese",Action,433,"{'Zombies': 2146, 'Co-op': 1375, 'Multiplayer': 1223, 'FPS': 1172, 'Action': 1016, 'Horror': 869, 'Shooter': 815, 'Online Co-Op': 801, 'Survival': 661, 'Team-Based': 645, 'First-Person': 610, 'Post-apocalyptic': 544, 'Singleplayer': 429, 'Atmospheric': 328, 'Adventure': 311, 'Moddable': 311, 'Tactical': 286, 'Replay Value': 265, 'Competitive': 258, 'Female Protagonist': 231}"
550,Left 4 Dead 2,Valve,Valve,,828789,20977,0,"50,000,000 .. 100,000,000",1673,234,497,87,999,999,0,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",Action,19300,"{'Zombies': 21012, 'Co-op': 11246, 'FPS': 9936, 'Multiplayer': 9274, 'Shooter': 6986, 'Online Co-Op': 6689, 'Action': 6610, 'Survival': 5643, 'Horror': 5376, 'First-Person': 4494, 'Gore': 4207, 'Team-Based': 3553, 'Moddable': 3015, 'Survival Horror': 2959, 'Post-apocalyptic': 2861, 'Singleplayer': 2399, 'Adventure': 2163, 'Local Co-Op': 2104, 'Replay Value': 2059, 'Tactical': 1977}"
570,Dota 2,Valve,Valve,,1820456,402016,0,"200,000,000 .. 500,000,000",41268,1554,894,1225,0,0,0,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","Action, Strategy, Free to Play",726159,"{'Free to Play': 59515, 'MOBA': 19946, 'Multiplayer': 15139, 'Strategy': 14080, 'e-sports': 11608, 'Team-Based': 10811, 'Competitive': 8157, 'Action': 7832, 'Online Co-Op': 7350, 'PvP': 5930, 'Difficult': 5222, 'Co-op': 4219, 'RTS': 4030, 'RPG': 3707, 'Tower Defense': 3699, 'Fantasy': 3681, 'Character Customization': 2862, 'Replay Value': 2708, 'Action RPG': 2406, 'Simulation': 1929}"
620,Portal 2,Valve,Valve,,384869,4953,0,"10,000,000 .. 20,000,000",847,40,489,59,999,999,0,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Greek, Portuguese - Brazil, Spanish - Latin America, Ukrainian","Action, Adventure",1812,"{'Platformer': 7373, 'Puzzle': 7201, 'First-Person': 6963, 'Dark Humor': 6963, 'Story Rich': 6929, 'Puzzle-Platformer': 6883, 'Funny': 6783, 'Female Protagonist': 6753, '3D Platformer': 6705, 'Action-Adventure': 6562, 'Action': 6527, 'FPS': 6513, 'Co-op': 5806, 'Physics': 5008, 'Sci-fi': 4859, 'Level Editor': 4835, 'Science': 4754, 'Comedy': 4731, 'Atmospheric': 4727, 'Adventure': 4675}"
630,Alien Swarm,Valve,Valve,,19909,1077,0,"2,000,000 .. 5,000,000",423,0,114,0,0,0,0,English,Action,614,"{'Free to Play': 3702, 'Co-op': 781, 'Action': 598, 'Multiplayer': 544, 'Online Co-Op': 474, 'Aliens': 468, 'Shooter': 454, 'Sci-fi': 399, 'Top-Down': 373, 'Top-Down Shooter': 348, 'Survival': 242, 'Class-Based': 209, 'PvE': 208, 'Third Person': 204, 'Team-Based': 203, 'Third-Person Shooter': 175, 'Moddable': 145, 'Singleplayer': 126, 'Strategy': 123, 'Adventure': 118}"
730,Counter-Strike: Global Offensive,Valve,Valve,,6993686,1020377,0,"100,000,000 .. 200,000,000",28665,688,5448,285,0,0,0,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","Action, Free to Play",989346,"{'FPS': 90011, 'Shooter': 64730, 'Multiplayer': 61756, 'Competitive': 52850, 'Action': 47136, 'Team-Based': 46033, 'e-sports': 43119, 'Tactical': 41010, 'First-Person': 39058, 'PvP': 34128, 'Online Co-Op': 33689, 'Co-op': 30016, 'Strategy': 29889, 'Military': 28499, 'War': 27813, 'Difficult': 25800, 'Trading': 25470, 'Realistic': 25249, 'Fast-Paced': 25178, 'Moddable': 6440}"
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,,62193,3283,0,"2,000,000 .. 5,000,000",1321,0,276,0,1999,1999,0,"English, French, Italian, German, Spanish - Spain, Hungarian, Polish, Russian",Action,219,"{'FPS': 1710, 'Zombies': 1668, 'Co-op': 1561, 'Survival': 1235, 'Horror': 1091, 'Action': 1067, 'Multiplayer': 1062, 'Online Co-Op': 963, 'Violent': 864, 'Gore': 843, 'Shooter': 782, 'Team-Based': 584, 'First-Person': 515, 'Survival Horror': 414, 'Moddable': 375, 'Bullet Time': 320, 'Class-Based': 319, '3D': 316, 'Singleplayer': 314, 'Dark Comedy': 312}"
1840,Source Filmmaker,Valve,Valve,,34545,2558,0,"2,000,000 .. 5,000,000",1424,0,63,0,0,0,0,English,"Animation & Modeling, Video Production",1380,"{'Animation & Modeling': 736, 'Free to Play': 512, 'Video Production': 510, 'Software': 416, 'Movie': 316, 'Difficult': 220, 'Sandbox': 213, 'Funny': 175, 'Comedy': 140, 'Singleplayer': 133, 'Moddable': 123, 'Character Customization': 111, 'Memes': 92, 'Survival Horror': 75, 'Games Workshop': 57, 'Anime': 45, '3D': 40, 'Great Soundtrack': 36, 'Sexual Content': 21, 'Hentai': 16}"
2100,Dark Messiah of Might & Magic,Arkane Studios,Ubisoft,,8881,850,0,"1,000,000 .. 2,000,000",196,0,56,0,999,999,0,"English, French, German, Italian, Spanish - Spain","Action, RPG",46,"{'RPG': 514, 'First-Person': 455, 'Action': 410, 'Fantasy': 361, 'Swordplay': 248, 'Dark Fantasy': 247, 'Adventure': 236, 'Magic': 225, 'Classic': 182, 'Singleplayer': 158, 'Stealth': 143, 'Multiple Endings': 142, 'Medieval': 118, 'Action RPG': 118, 'Story Rich': 113, 'Atmospheric': 107, 'Gore': 95, 'Hack and Slash': 95, 'Immersive Sim': 91, 'Multiplayer': 70}"
